iter	Passed	Remaining
0	2	543
1	5	497
2	7	464
3	9	468
4	11	453
5	13	437
6	15	431
7	17	428
8	19	422
9	22	429
10	24	427
11	27	434
12	30	433
13	32	436
14	35	436
15	37	430
16	40	431
17	42	425
18	44	420
19	46	416
20	50	428
21	52	424
22	54	418
23	56	412
24	58	408
25	60	403
26	62	399
27	64	395
28	66	390
29	68	386
30	70	382
31	72	380
32	74	377
33	76	375
34	79	372
35	81	370
36	83	366
37	85	364
38	87	361
39	89	356
40	91	353
41	93	349
42	95	346
43	96	343
44	98	339
45	100	337
46	102	334
47	104	331
48	106	328
49	108	325
50	110	321
51	112	318
52	113	315
53	115	312
54	117	310
55	120	309
56	122	307
57	124	305
58	126	302
59	128	299
60	130	297
61	131	291
62	133	289
63	135	287
64	135	282
65	137	279
66	139	277
67	141	275
68	143	272
69	145	270
70	147	267
71	149	265
72	151	262
73	153	260
74	155	258
75	157	257
76	159	255
77	161	253
78	163	250
79	165	248
80	167	245
81	169	243
82	171	241
83	173	239
84	175	236
85	176	234
86	178	232
87	180	230
88	182	227
89	184	225
90	186	223
91	188	221
92	190	219
93	192	217
94	194	215
95	197	213
96	199	211
97	201	210
98	203	208
99	206	206
100	208	204
101	210	202
102	212	200
103	214	198
104	216	196
105	218	193
106	220	191
107	222	189
108	224	187
109	227	185
110	229	183
111	231	181
112	232	179
113	234	177
114	236	175
115	238	172
116	240	170
117	243	168
118	245	166
119	247	164
120	249	162
121	251	160
122	253	158
123	255	156
124	257	154
125	259	152
126	261	150
127	262	147
128	265	145
129	267	143
130	268	141
131	270	139
132	272	137
133	274	135
134	276	133
135	278	130
136	280	128
137	282	126
138	283	124
139	285	122
140	287	120
141	289	118
142	291	116
143	293	114
144	295	111
145	296	109
146	298	107
147	300	105
148	302	103
149	304	101
150	306	99
151	309	97
152	310	95
153	312	93
154	314	91
155	316	89
156	318	87
157	320	85
158	322	83
159	324	81
160	326	79
161	328	77
162	330	75
163	332	73
164	335	71
165	337	69
166	339	67
167	341	64
168	342	62
169	344	60
170	346	58
171	348	56
172	350	54
173	352	52
174	354	50
175	356	48
176	358	46
177	360	44
178	361	42
179	363	40
180	365	38
181	367	36
182	369	34
183	371	32
184	373	30
185	375	28
186	377	26
187	379	24
188	381	22
189	383	20
190	385	18
191	387	16
192	389	14
193	391	12
194	393	10
195	396	8
196	397	6
197	399	4
198	401	2
199	404	0
